id,here_friendly
2120,t
2122,t
2127,t
2128,t
2134,t
2135,t
2140,t
2141,t
2153,t
2154,t
2156,t
2158,t
42,t
2164,t
47,t
2171,t
58,t
59,t
2175,t
2178,t
70,t
2186,t
2189,t
2191,t
79,t
2205,t
91,t
2207,t
93,t
2208,t
2209,t
2214,t
2215,t
106,t
2223,t
110,t
115,t
118,t
2230,t
2232,t
123,t
124,t
2237,t
126,t
2239,t
2247,t
2248,t
135,t
2252,t
145,t
2256,t
2260,t
2261,t
152,t
2262,t
154,t
2265,t
2266,t
2268,t
2273,t
2274,t
168,t
2276,t
172,t
173,t
2282,t
2284,t
177,t
178,t
2286,t
2287,t
2289,t
184,t
2295,t
2298,t
2299,t
2300,t
2304,t
2308,t
201,t
2309,t
205,t
207,t
2317,t
2319,t
212,t
2320,t
2321,t
2324,t
2328,t
2330,t
2333,t
2334,t
2336,t
230,t
2340,t
2342,t
2343,t
2346,t
2347,t
2349,t
2350,t
243,t
2351,t
2356,t
2359,t
2361,t
2363,t
2371,t
263,t
2372,t
2373,t
2378,t
278,t
2387,t
280,t
2388,t
2392,t
2394,t
2396,t
291,t
2402,t
294,t
303,t
2412,t
305,t
307,t
2415,t
2418,t
314,t
317,t
2427,t
2430,t
323,t
325,t
2434,t
2436,t
2437,t
2438,t
331,t
2442,t
2443,t
2448,t
342,t
2451,t
2452,t
2453,t
2454,t
2458,t
2459,t
2462,t
2465,t
2466,t
2467,t
2469,t
361,t
2473,t
2474,t
2476,t
2478,t
368,t
370,t
371,t
2486,t
380,t
2490,t
2494,t
389,t
390,t
391,t
2500,t
2503,t
2508,t
2510,t
402,t
2512,t
2513,t
2516,t
2517,t
2519,t
2521,t
412,t
2524,t
2525,t
2528,t
419,t
2532,t
425,t
2538,t
2540,t
2541,t
433,t
2544,t
2546,t
2550,t
2551,t
442,t
443,t
2552,t
2554,t
2557,t
2561,t
2562,t
2563,t
2565,t
2566,t
458,t
460,t
2571,t
2573,t
2575,t
2577,t
2579,t
2580,t
2581,t
2582,t
2584,t
476,t
2586,t
2588,t
2589,t
2590,t
2594,t
2595,t
487,t
493,t
2603,t
2605,t
2609,t
2610,t
2615,t
507,t
2617,t
2619,t
2622,t
2623,t
517,t
2627,t
2628,t
2631,t
524,t
2633,t
2639,t
531,t
2641,t
2642,t
2643,t
2646,t
539,t
2649,t
2652,t
2653,t
2657,t
2658,t
552,t
2660,t
2661,t
2662,t
556,t
2663,t
2667,t
562,t
2671,t
2673,t
2675,t
2676,t
569,t
570,t
2678,t
2681,t
2683,t
576,t
578,t
2687,t
2690,t
2694,t
2696,t
2700,t
594,t
598,t
599,t
2708,t
2709,t
2710,t
2711,t
604,t
605,t
2713,t
2714,t
2717,t
611,t
2722,t
2723,t
2724,t
2726,t
621,t
2731,t
2733,t
624,t
2735,t
2736,t
628,t
2738,t
2737,t
630,t
2741,t
2742,t
631,t
2744,t
2745,t
2740,t
2750,t
2752,t
2754,t
2755,t
648,t
2756,t
650,t
2757,t
2760,t
2758,t
2759,t
2763,t
2766,t
2767,t
662,t
2770,t
2771,t
2769,t
2772,t
2773,t
2775,t
2774,t
2776,t
2778,t
2779,t
2781,t
2784,t
2785,t
2790,t
2793,t
689,t
2796,t
2797,t
2800,t
694,t
2801,t
696,t
2805,t
2806,t
701,t
2808,t
2810,t
706,t
2814,t
2818,t
2825,t
721,t
2827,t
2828,t
2830,t
2833,t
2835,t
2838,t
2839,t
2841,t
2843,t
737,t
2845,t
2848,t
742,t
2849,t
2850,t
2851,t
2853,t
2854,t
2856,t
2857,t
2860,t
755,t
2864,t
2865,t
2867,t
2868,t
2869,t
2870,t
765,t
766,t
2876,t
2877,t
2878,t
2879,t
2880,t
2881,t
2882,t
774,t
776,t
2887,t
2891,t
784,t
2893,t
786,t
2894,t
2897,t
789,t
2899,t
2901,t
2902,t
2905,t
798,t
2910,t
2911,t
2914,t
2915,t
2917,t
2918,t
2919,t
2922,t
819,t
2928,t
2929,f
822,t
823,t
2931,t
2932,t
826,t
827,t
2935,t
2937,t
2940,t
2941,t
